cencppprivnonres,cencppprivres,cencpppub,cencpptot,cenhfs-supplymsa,cenhs-usmsa,cennewhsavgm,cennewhsmedm,NAV
401961,410303,296694,1108958,9.6,619,284400,227700,10
401961,410303,296694,1108958,9.6,619,284400,227700,10.06
401961,410303,296694,1108958,9.6,619,284400,227700,10.07
401961,410303,296694,1108958,9.6,619,284400,227700,9.84
401961,410303,296694,1108958,9.6,619,284400,227700,9.83
401961,410303,296694,1108958,9.6,619,284400,227700,9.8
414045,397751,294251,1106047,9.3,627,284600,232400,9.8
414045,397751,294251,1106047,9.3,627,284600,232400,9.64
414045,397751,294251,1106047,9.3,627,284600,232400,9.54
414045,397751,294251,1106047,9.3,627,284600,232400,9.27
414045,397751,294251,1106047,9.3,627,284600,232400,9.31
414045,397751,294251,1106047,9.3,627,284600,232400,9.07
414045,397751,294251,1106047,9.3,627,284600,232400,9.16
414045,397751,294251,1106047,9.3,627,284600,232400,9.25
414045,397751,294251,1106047,9.3,627,284600,232400,9.08
414045,397751,294251,1106047,9.3,627,284600,232400,9.16
414045,397751,294251,1106047,9.3,627,284600,232400,8.99
414045,397751,294251,1106047,9.3,627,284600,232400,9.04
414045,397751,294251,1106047,9.3,627,284600,232400,8.82
414045,397751,294251,1106047,9.3,627,284600,232400,8.73
414045,397751,294251,1106047,9.3,627,284600,232400,8.73
414045,397751,294251,1106047,9.3,627,284600,232400,8.97
414045,397751,294251,1106047,9.3,627,284600,232400,8.98
414045,397751,294251,1106047,9.3,627,284600,232400,8.9
414045,397751,294251,1106047,9.3,627,284600,232400,9.08
414045,397751,294251,1106047,9.3,627,284600,232400,9.13
414045,397751,294251,1106047,9.3,627,284600,232400,9.05
414045,397751,294251,1106047,9.3,627,284600,232400,9.27
410638,382369,299323,1092331,9.7,593,301200,245300,9.48
410638,382369,299323,1092331,9.7,593,301200,245300,9.39
410638,382369,299323,1092331,9.7,593,301200,245300,9.17
410638,382369,299323,1092331,9.7,593,301200,245300,9.1
410638,382369,299323,1092331,9.7,593,301200,245300,9.22
410638,382369,299323,1092331,9.7,593,301200,245300,9.18
410638,382369,299323,1092331,9.7,593,301200,245300,9.2
410638,382369,299323,1092331,9.7,593,301200,245300,9.23
410638,382369,299323,1092331,9.7,593,301200,245300,9.39
410638,382369,299323,1092331,9.7,593,301200,245300,9.23
410638,382369,299323,1092331,9.7,593,301200,245300,9.2
410638,382369,299323,1092331,9.7,593,301200,245300,9.2
410638,382369,299323,1092331,9.7,593,301200,245300,9.34
410638,382369,299323,1092331,9.7,593,301200,245300,9.2
410638,382369,299323,1092331,9.7,593,301200,245300,9.21
410638,382369,299323,1092331,9.7,593,301200,245300,9.39
410638,382369,299323,1092331,9.7,593,301200,245300,9.47
410638,382369,299323,1092331,9.7,593,301200,245300,9.43
410638,382369,299323,1092331,9.7,593,301200,245300,9.34
410638,382369,299323,1092331,9.7,593,301200,245300,9.1
405798,382574,306539,1094910,10.5,535,287600,229300,9.09
405798,382574,306539,1094910,10.5,535,287600,229300,9.05
405798,382574,306539,1094910,10.5,535,287600,229300,9.09
405798,382574,306539,1094910,10.5,535,287600,229300,8.9
405798,382574,306539,1094910,10.5,535,287600,229300,8.87
405798,382574,306539,1094910,10.5,535,287600,229300,8.73
405798,382574,306539,1094910,10.5,535,287600,229300,9.03
405798,382574,306539,1094910,10.5,535,287600,229300,8.94
405798,382574,306539,1094910,10.5,535,287600,229300,9.09
405798,382574,306539,1094910,10.5,535,287600,229300,8.89
405798,382574,306539,1094910,10.5,535,287600,229300,8.77
405798,382574,306539,1094910,10.5,535,287600,229300,9.1
405798,382574,306539,1094910,10.5,535,287600,229300,8.9
405798,382574,306539,1094910,10.5,535,287600,229300,9.07
405798,382574,306539,1094910,10.5,535,287600,229300,9.26
405798,382574,306539,1094910,10.5,535,287600,229300,9.36
405798,382574,306539,1094910,10.5,535,287600,229300,9.28
405798,382574,306539,1094910,10.5,535,287600,229300,9.18
405798,382574,306539,1094910,10.5,535,287600,229300,9.11
405798,382574,306539,1094910,10.5,535,287600,229300,9.19
409912,376718,304512,1091142,10.3,536,314300,246400,9.46
409912,376718,304512,1091142,10.3,536,314300,246400,9.48
409912,376718,304512,1091142,10.3,536,314300,246400,9.46
409912,376718,304512,1091142,10.3,536,314300,246400,9.47
409912,376718,304512,1091142,10.3,536,314300,246400,9.48
409912,376718,304512,1091142,10.3,536,314300,246400,9.45
409912,376718,304512,1091142,10.3,536,314300,246400,9.32
409912,376718,304512,1091142,10.3,536,314300,246400,9.38
409912,376718,304512,1091142,10.3,536,314300,246400,9.16
409912,376718,304512,1091142,10.3,536,314300,246400,9.14
409912,376718,304512,1091142,10.3,536,314300,246400,9.22
409912,376718,304512,1091142,10.3,536,314300,246400,9.48
409912,376718,304512,1091142,10.3,536,314300,246400,9.42
409912,376718,304512,1091142,10.3,536,314300,246400,9.6
409912,376718,304512,1091142,10.3,536,314300,246400,9.55
409912,376718,304512,1091142,10.3,536,314300,246400,9.36
409912,376718,304512,1091142,10.3,536,314300,246400,9.37
409912,376718,304512,1091142,10.3,536,314300,246400,9.45
409912,376718,304512,1091142,10.3,536,314300,246400,9.51
409912,376718,304512,1091142,10.3,536,314300,246400,9.57
409912,376718,304512,1091142,10.3,536,314300,246400,9.52
409912,376718,304512,1091142,10.3,536,314300,246400,9.49
413850,371838,305320,1091008,10.7,504,298200,229300,9.65
413850,371838,305320,1091008,10.7,504,298200,229300,9.63
413850,371838,305320,1091008,10.7,504,298200,229300,9.61
413850,371838,305320,1091008,10.7,504,298200,229300,9.7
413850,371838,305320,1091008,10.7,504,298200,229300,9.58
413850,371838,305320,1091008,10.7,504,298200,229300,9.6
413850,371838,305320,1091008,10.7,504,298200,229300,9.59
413850,371838,305320,1091008,10.7,504,298200,229300,9.72
413850,371838,305320,1091008,10.7,504,298200,229300,9.77
413850,371838,305320,1091008,10.7,504,298200,229300,9.78
413850,371838,305320,1091008,10.7,504,298200,229300,9.87
413850,371838,305320,1091008,10.7,504,298200,229300,9.85
413850,371838,305320,1091008,10.7,504,298200,229300,9.85
413850,371838,305320,1091008,10.7,504,298200,229300,9.84
413850,371838,305320,1091008,10.7,504,298200,229300,9.72
413850,371838,305320,1091008,10.7,504,298200,229300,9.79
413850,371838,305320,1091008,10.7,504,298200,229300,9.65
413850,371838,305320,1091008,10.7,504,298200,229300,9.77
413850,371838,305320,1091008,10.7,504,298200,229300,9.81
413850,371838,305320,1091008,10.7,504,298200,229300,9.86
413850,371838,305320,1091008,10.7,504,298200,229300,9.91
407304,359774,307558,1074637,10.7,487,299400,234300,9.84
407304,359774,307558,1074637,10.7,487,299400,234300,9.83
407304,359774,307558,1074637,10.7,487,299400,234300,9.86
407304,359774,307558,1074637,10.7,487,299400,234300,10.08
407304,359774,307558,1074637,10.7,487,299400,234300,9.79
407304,359774,307558,1074637,10.7,487,299400,234300,9.76
407304,359774,307558,1074637,10.7,487,299400,234300,9.72
407304,359774,307558,1074637,10.7,487,299400,234300,9.57
407304,359774,307558,1074637,10.7,487,299400,234300,9.57
407304,359774,307558,1074637,10.7,487,299400,234300,9.68
407304,359774,307558,1074637,10.7,487,299400,234300,9.74
407304,359774,307558,1074637,10.7,487,299400,234300,9.69
407304,359774,307558,1074637,10.7,487,299400,234300,9.62
407304,359774,307558,1074637,10.7,487,299400,234300,9.67
407304,359774,307558,1074637,10.7,487,299400,234300,9.53
407304,359774,307558,1074637,10.7,487,299400,234300,9.49
407304,359774,307558,1074637,10.7,487,299400,234300,9.44
407304,359774,307558,1074637,10.7,487,299400,234300,9.52
407304,359774,307558,1074637,10.7,487,299400,234300,9.26
407304,359774,307558,1074637,10.7,487,299400,234300,9.19
407304,359774,307558,1074637,10.7,487,299400,234300,9.07
411182,345129,310609,1066919,10.5,477,301900,237300,9.06
411182,345129,310609,1066919,10.5,477,301900,237300,8.83
411182,345129,310609,1066919,10.5,477,301900,237300,8.76
411182,345129,310609,1066919,10.5,477,301900,237300,8.66
411182,345129,310609,1066919,10.5,477,301900,237300,8.95
411182,345129,310609,1066919,10.5,477,301900,237300,8.72
411182,345129,310609,1066919,10.5,477,301900,237300,8.75
411182,345129,310609,1066919,10.5,477,301900,237300,8.75
411182,345129,310609,1066919,10.5,477,301900,237300,8.6
411182,345129,310609,1066919,10.5,477,301900,237300,8.55
411182,345129,310609,1066919,10.5,477,301900,237300,8.9
411182,345129,310609,1066919,10.5,477,301900,237300,9.09
411182,345129,310609,1066919,10.5,477,301900,237300,9.09
411182,345129,310609,1066919,10.5,477,301900,237300,9.12
411182,345129,310609,1066919,10.5,477,301900,237300,9.38
411182,345129,310609,1066919,10.5,477,301900,237300,9.46
411182,345129,310609,1066919,10.5,477,301900,237300,9.2
411182,345129,310609,1066919,10.5,477,301900,237300,9.28
411182,345129,310609,1066919,10.5,477,301900,237300,9.09
411182,345129,310609,1066919,10.5,477,301900,237300,9.36
411182,345129,310609,1066919,10.5,477,301900,237300,9.39
411182,345129,310609,1066919,10.5,477,301900,237300,9.34
402515,341260,313684,1057459,11.3,435,265500,221000,9.35
402515,341260,313684,1057459,11.3,435,265500,221000,9.22
402515,341260,313684,1057459,11.3,435,265500,221000,9.49
402515,341260,313684,1057459,11.3,435,265500,221000,9.53
402515,341260,313684,1057459,11.3,435,265500,221000,9.34
402515,341260,313684,1057459,11.3,435,265500,221000,9.64
402515,341260,313684,1057459,11.3,435,265500,221000,9.86
402515,341260,313684,1057459,11.3,435,265500,221000,9.78
402515,341260,313684,1057459,11.3,435,265500,221000,9.78
402515,341260,313684,1057459,11.3,435,265500,221000,9.9
402515,341260,313684,1057459,11.3,435,265500,221000,9.93
402515,341260,313684,1057459,11.3,435,265500,221000,9.77
402515,341260,313684,1057459,11.3,435,265500,221000,9.62
402515,341260,313684,1057459,11.3,435,265500,221000,9.62
402515,341260,313684,1057459,11.3,435,265500,221000,9.56
402515,341260,313684,1057459,11.3,435,265500,221000,9.72
402515,341260,313684,1057459,11.3,435,265500,221000,9.5
402515,341260,313684,1057459,11.3,435,265500,221000,9.55
402515,341260,313684,1057459,11.3,435,265500,221000,9.68
402515,341260,313684,1057459,11.3,435,265500,221000,9.85
402515,341260,313684,1057459,11.3,435,265500,221000,9.75
410404,337704,308559,1056666,10.9,433,287100,225200,9.78
410404,337704,308559,1056666,10.9,433,287100,225200,9.85
410404,337704,308559,1056666,10.9,433,287100,225200,9.59
410404,337704,308559,1056666,10.9,433,287100,225200,9.62
410404,337704,308559,1056666,10.9,433,287100,225200,9.85
410404,337704,308559,1056666,10.9,433,287100,225200,9.55
410404,337704,308559,1056666,10.9,433,287100,225200,9.69
410404,337704,308559,1056666,10.9,433,287100,225200,9.71
410404,337704,308559,1056666,10.9,433,287100,225200,9.71
410404,337704,308559,1056666,10.9,433,287100,225200,9.34
410404,337704,308559,1056666,10.9,433,287100,225200,9.57
410404,337704,308559,1056666,10.9,433,287100,225200,9.12
410404,337704,308559,1056666,10.9,433,287100,225200,9.72
410404,337704,308559,1056666,10.9,433,287100,225200,10.14
410404,337704,308559,1056666,10.9,433,287100,225200,9.68
410404,337704,308559,1056666,10.9,433,287100,225200,9.57
410404,337704,308559,1056666,10.9,433,287100,225200,9.41
410404,337704,308559,1056666,10.9,433,287100,225200,9.51
410404,337704,308559,1056666,10.9,433,287100,225200,9.48
410404,337704,308559,1056666,10.9,433,287100,225200,8.85
410404,337704,308559,1056666,10.9,433,287100,225200,9.15
412197,324161,314332,1050690,11.6,393,274000,213200,9.09
412197,324161,314332,1050690,11.6,393,274000,213200,8.63
412197,324161,314332,1050690,11.6,393,274000,213200,8.44
412197,324161,314332,1050690,11.6,393,274000,213200,8.11
412197,324161,314332,1050690,11.6,393,274000,213200,7.64
412197,324161,314332,1050690,11.6,393,274000,213200,7.46
412197,324161,314332,1050690,11.6,393,274000,213200,6.77
412197,324161,314332,1050690,11.6,393,274000,213200,6.93
412197,324161,314332,1050690,11.6,393,274000,213200,7.59
412197,324161,314332,1050690,11.6,393,274000,213200,7.43
412197,324161,314332,1050690,11.6,393,274000,213200,6.77
412197,324161,314332,1050690,11.6,393,274000,213200,7.13
412197,324161,314332,1050690,11.6,393,274000,213200,7.01
412197,324161,314332,1050690,11.6,393,274000,213200,7.25
412197,324161,314332,1050690,11.6,393,274000,213200,7.05
412197,324161,314332,1050690,11.6,393,274000,213200,6.67
412197,324161,314332,1050690,11.6,393,274000,213200,6.53
412197,324161,314332,1050690,11.6,393,274000,213200,6.31
412197,324161,314332,1050690,11.6,393,274000,213200,6.06
412197,324161,314332,1050690,11.6,393,274000,213200,6.47
412197,324161,314332,1050690,11.6,393,274000,213200,6.56
412197,324161,314332,1050690,11.6,393,274000,213200,6.86
412197,324161,314332,1050690,11.6,393,274000,213200,7.15
403443,308871,316897,1029211,11.4,389,290100,221600,7.15
403443,308871,316897,1029211,11.4,389,290100,221600,7.25
403443,308871,316897,1029211,11.4,389,290100,221600,6.88
403443,308871,316897,1029211,11.4,389,290100,221600,6.63
403443,308871,316897,1029211,11.4,389,290100,221600,6.74
403443,308871,316897,1029211,11.4,389,290100,221600,6.57
403443,308871,316897,1029211,11.4,389,290100,221600,6.43
403443,308871,316897,1029211,11.4,389,290100,221600,6.05
403443,308871,316897,1029211,11.4,389,290100,221600,6.54
403443,308871,316897,1029211,11.4,389,290100,221600,6.13
403443,308871,316897,1029211,11.4,389,290100,221600,6.02
403443,308871,316897,1029211,11.4,389,290100,221600,5.99
403443,308871,316897,1029211,11.4,389,290100,221600,5.53
403443,308871,316897,1029211,11.4,389,290100,221600,5.13
403443,308871,316897,1029211,11.4,389,290100,221600,5.37
403443,308871,316897,1029211,11.4,389,290100,221600,5.76
403443,308871,316897,1029211,11.4,389,290100,221600,5.87
403443,308871,316897,1029211,11.4,389,290100,221600,6.22
403443,308871,316897,1029211,11.4,389,290100,221600,6.3
392797,288761,311957,993515,11.2,377,263100,229600,5.58
392797,288761,311957,993515,11.2,377,263100,229600,5.9
392797,288761,311957,993515,11.2,377,263100,229600,6.09
392797,288761,311957,993515,11.2,377,263100,229600,5.93
392797,288761,311957,993515,11.2,377,263100,229600,6.19
392797,288761,311957,993515,11.2,377,263100,229600,6.42
392797,288761,311957,993515,11.2,377,263100,229600,6.22
392797,288761,311957,993515,11.2,377,263100,229600,6.36
392797,288761,311957,993515,11.2,377,263100,229600,6.05
392797,288761,311957,993515,11.2,377,263100,229600,6.25
392797,288761,311957,993515,11.2,377,263100,229600,6.05
392797,288761,311957,993515,11.2,377,263100,229600,6.45
392797,288761,311957,993515,11.2,377,263100,229600,6.48
392797,288761,311957,993515,11.2,377,263100,229600,6.4
392797,288761,311957,993515,11.2,377,263100,229600,6.35
392797,288761,311957,993515,11.2,377,263100,229600,6.19
392797,288761,311957,993515,11.2,377,263100,229600,6.12
392797,288761,311957,993515,11.2,377,263100,229600,6.16
392797,288761,311957,993515,11.2,377,263100,229600,6.24
392797,288761,311957,993515,11.2,377,263100,229600,6.13
392797,288761,311957,993515,11.2,377,263100,229600,6.37
392797,288761,311957,993515,11.2,377,263100,229600,6.58
378587,274565,309552,962704,12.2,336,245200,208600,6.69
378587,274565,309552,962704,12.2,336,245200,208600,6.67
378587,274565,309552,962704,12.2,336,245200,208600,6.81
378587,274565,309552,962704,12.2,336,245200,208600,6.57
378587,274565,309552,962704,12.2,336,245200,208600,6.65
378587,274565,309552,962704,12.2,336,245200,208600,6.37
378587,274565,309552,962704,12.2,336,245200,208600,6.19
378587,274565,309552,962704,12.2,336,245200,208600,6.26
378587,274565,309552,962704,12.2,336,245200,208600,5.98
