Date,NAV
2007-12,10
2007-12,10.06
2007-12,10.07
2007-12,9.84
2007-12,9.83
2007-12,9.8
2008-01,9.8
2008-01,9.64
2008-01,9.54
2008-01,9.27
2008-01,9.31
2008-01,9.07
2008-01,9.16
2008-01,9.25
2008-01,9.08
2008-01,9.16
2008-01,8.99
2008-01,9.04
2008-01,8.82
2008-01,8.73
2008-01,8.73
2008-01,8.97
2008-01,8.98
2008-01,8.9
2008-01,9.08
2008-01,9.13
2008-01,9.05
2008-01,9.27
2008-02,9.48
2008-02,9.39
2008-02,9.17
2008-02,9.1
2008-02,9.22
2008-02,9.18
2008-02,9.2
2008-02,9.23
2008-02,9.39
2008-02,9.23
2008-02,9.2
2008-02,9.2
2008-02,9.34
2008-02,9.2
2008-02,9.21
2008-02,9.39
2008-02,9.47
2008-02,9.43
2008-02,9.34
2008-02,9.1
2008-03,9.09
2008-03,9.05
2008-03,9.09
2008-03,8.9
2008-03,8.87
2008-03,8.73
2008-03,9.03
2008-03,8.94
2008-03,9.09
2008-03,8.89
2008-03,8.77
2008-03,9.1
2008-03,8.9
2008-03,9.07
2008-03,9.26
2008-03,9.36
2008-03,9.28
2008-03,9.18
2008-03,9.11
2008-03,9.19
2008-04,9.46
2008-04,9.48
2008-04,9.46
2008-04,9.47
2008-04,9.48
2008-04,9.45
2008-04,9.32
2008-04,9.38
2008-04,9.16
2008-04,9.14
2008-04,9.22
2008-04,9.48
2008-04,9.42
2008-04,9.6
2008-04,9.55
2008-04,9.36
2008-04,9.37
2008-04,9.45
2008-04,9.51
2008-04,9.57
2008-04,9.52
2008-04,9.49
2008-05,9.65
2008-05,9.63
2008-05,9.61
2008-05,9.7
2008-05,9.58
2008-05,9.6
2008-05,9.59
2008-05,9.72
2008-05,9.77
2008-05,9.78
2008-05,9.87
2008-05,9.85
2008-05,9.85
2008-05,9.84
2008-05,9.72
2008-05,9.79
2008-05,9.65
2008-05,9.77
2008-05,9.81
2008-05,9.86
2008-05,9.91
2008-06,9.84
2008-06,9.83
2008-06,9.86
2008-06,10.08
2008-06,9.79
2008-06,9.76
2008-06,9.72
2008-06,9.57
2008-06,9.57
2008-06,9.68
2008-06,9.74
2008-06,9.69
2008-06,9.62
2008-06,9.67
2008-06,9.53
2008-06,9.49
2008-06,9.44
2008-06,9.52
2008-06,9.26
2008-06,9.19
2008-06,9.07
2008-07,9.06
2008-07,8.83
2008-07,8.76
2008-07,8.66
2008-07,8.95
2008-07,8.72
2008-07,8.75
2008-07,8.75
2008-07,8.6
2008-07,8.55
2008-07,8.9
2008-07,9.09
2008-07,9.09
2008-07,9.12
2008-07,9.38
2008-07,9.46
2008-07,9.2
2008-07,9.28
2008-07,9.09
2008-07,9.36
2008-07,9.39
2008-07,9.34
2008-08,9.35
2008-08,9.22
2008-08,9.49
2008-08,9.53
2008-08,9.34
2008-08,9.64
2008-08,9.86
2008-08,9.78
2008-08,9.78
2008-08,9.9
2008-08,9.93
2008-08,9.77
2008-08,9.62
2008-08,9.62
2008-08,9.56
2008-08,9.72
2008-08,9.5
2008-08,9.55
2008-08,9.68
2008-08,9.85
2008-08,9.75
2008-09,9.78
2008-09,9.85
2008-09,9.59
2008-09,9.62
2008-09,9.85
2008-09,9.55
2008-09,9.69
2008-09,9.71
2008-09,9.71
2008-09,9.34
2008-09,9.57
2008-09,9.12
2008-09,9.72
2008-09,10.14
2008-09,9.68
2008-09,9.57
2008-09,9.41
2008-09,9.51
2008-09,9.48
2008-09,8.85
2008-09,9.15
2008-10,9.09
2008-10,8.63
2008-10,8.44
2008-10,8.11
2008-10,7.64
2008-10,7.46
2008-10,6.77
2008-10,6.93
2008-10,7.59
2008-10,7.43
2008-10,6.77
2008-10,7.13
2008-10,7.01
2008-10,7.25
2008-10,7.05
2008-10,6.67
2008-10,6.53
2008-10,6.31
2008-10,6.06
2008-10,6.47
2008-10,6.56
2008-10,6.86
2008-10,7.15
2008-11,7.15
2008-11,7.25
2008-11,6.88
2008-11,6.63
2008-11,6.74
2008-11,6.57
2008-11,6.43
2008-11,6.05
2008-11,6.54
2008-11,6.13
2008-11,6.02
2008-11,5.99
2008-11,5.53
2008-11,5.13
2008-11,5.37
2008-11,5.76
2008-11,5.87
2008-11,6.22
2008-11,6.3
2008-12,5.58
2008-12,5.9
2008-12,6.09
2008-12,5.93
2008-12,6.19
2008-12,6.42
2008-12,6.22
2008-12,6.36
2008-12,6.05
2008-12,6.25
2008-12,6.05
2008-12,6.45
2008-12,6.48
2008-12,6.4
2008-12,6.35
2008-12,6.19
2008-12,6.12
2008-12,6.16
2008-12,6.24
2008-12,6.13
2008-12,6.37
2008-12,6.58
2009-01,6.69
2009-01,6.67
2009-01,6.81
2009-01,6.57
2009-01,6.65
2009-01,6.37
2009-01,6.19
2009-01,6.26
2009-01,5.98
2009-01,6.06
2009-01,6.09
